record_id,full_name,dob,nationality,id_type,id_number,type
C813409,Reza Ahmadi,1963-04-02,TJ,,,individual
C802958,Andy A. Olsen,1993-01,MX,,,individual
C648263,Altai Freight S.A.,,BR,,,entity
C720054,Wen Feng Ho,1981-09-12,SG,,,individual
C991073,ZAGROS SHIPPING LLC,,HK,,,entity
C340682,"Petersen, Daniel J.",1989-05-11,MX,,,individual
C104142,Hsia-An Tsang,,CN,,,individual
C159933,Hank O'Brien,,US,,,individual
C414262,The Northern Lights Maritime Co,,GE,,,entity
C521729,Irina Chcherbakova,1957-02,TW,,,individual
C848744,M/T Ocean Pearl III,,LR,,,vessel
C490194,Irina Chaikovskaya,1976-08-06,UA,,,individual
C397765,Coral Queen One Spirit,,GR,,,vessel
C858353,Chahrame Sadighi,1951-07-03,TJ,document,TJ49513941,individual
C619831,Charles Ferreira,,US,document,US51859941,individual
C692587,Mikhail Shevchenko,,GR,,,individual
C163654,Hsiang-Xiang Tsang,1997-10-19,HK,,,individual
C556740,Grigory Morozov,,KZ,,,individual
C304544,Aurora Queen,,MT,,,vessel
C117861,Hu Xiaoshan,,HK,,,individual
C726489,Steven M. Le Fevre,1976-11-25,FR,document,FR97400076,individual
C771184,Zhanna Shcherbakova,,KZ,document,KZ48096030,individual
C602059,Unnamed hull,,MH,imo,IMO9265884,vessel
C681015,The Phoenix Trading FZE,,MA,,,entity
C592680,Robbie A. Schmidt,,CA,,,individual
C574527,Rebecca Smith Jones,,FR,,,individual
C813736,Boris Chaikovsky,1993-09-13,BY,,,individual
C481372,MT Falcon Bay V,,GR,,,vessel
C942984,MV Bosporus Star,,MH,imo,IMO9526817,vessel
C152316,EASTERN STAR IMPORT EXPORT Ltd.,,TN,,,entity
C454213,Chung Dong Lam,1965-02-09,SG,,,individual
C529885,Zhou Kai Gang,1982-03-20,SG,,,individual
C726659,Keung Ping Ching,1957-10,GB,,,individual
C843404,Blue Whale,,MT,,,vessel
C463163,Artiom Lebedew,1973,UA,,,individual
C706895,William J. Hernández,,MX,,,individual
C512556,Johansen Jamie,1959-07-16,FR,,,individual
C630877,Kuei-Shu Lam,,CN,,,individual
C785911,Rezah Moradi,1961-10-26,GE,,,individual
C204687,Parvez Rezaai,1973-12-12,GE,,,individual
C631312,Pawel Petrovitsch Pawlow,1969-01-20,GR,,,individual
C695608,Kamren Tabrezi,1958,GE,,,individual
C628512,De Yang,1961-06,TW,,,individual
C265282,Shu Tsai,1979-12-08,HK,document,HK35386122,individual
C283992,Abdolah El Amen,1985-01-17,TN,,,individual
C735894,بشار الأمين,1987-04-25,GE,,,individual
C208912,Summit Metals GmbH,,GB,,,entity
C991912,Tabriz Investments L.L.C.,,SG,,,entity
C553842,Golnaz Hosaini,1953-01-11,TJ,,,individual
C974950,Fatimma bin Ahmed Yasin,1955-07-07,KW,document,KW21824635,individual
C259934,Saadalla Abd Al Karem,,TJ,,,individual
C318506,Dorothy M. Lefevre,1995,US,document,US77206737,individual
C374380,Grigory Lebedev,1992,KZ,,,individual
C486423,Poon Ling,,HK,,,individual
C688650,Na An Zhu,1958-06-06,SG,,,individual
C491256,Olga Bondarenko,1952-09-12,KZ,,,individual
C204053,Tabrezi Behrouz,1956,GE,,,individual
C341249,Gennady Alexandrovich Bykov,,GR,,,individual
C535032,Dmitriy Novikov,1950-06-12,UA,,,individual
C837379,Night Hawk Star Spirit,,SG,,,vessel
C566040,"Stepanov, Pavel",1995-02-11,BY,,,individual
C888447,Barb De la Cruz,1993-04-19,US,,,individual
C811938,Yaseen Muhamed bin Nabel,1994-06-18,KW,,,individual
C733097,Masoud Rahemmi,1986-05-07,GE,,,individual
C204265,"Nazari, Mehdi",1962-07-23,TJ,,,individual
C773356,"Zhukow, Pawel",1960-08-17,KZ,,,individual
C235460,Juan Sum,1993-04-23,TW,,,individual
C148157,Behrouz Moussavi,1970-11-16,TJ,,,individual
C668202,Meridian Petroleum Corp.,,CN,,,entity
C144376,Michail Makarow,1980-05-28,UA,,,individual
C447236,Volga Freight Limited Liability Company,,LB,,,entity
C610823,Tiger Lily,,GR,,,vessel
C258891,Dorothy M. Bianci,1995-01-05,AU,,,individual
C301709,Walery Stepanow,1974-07-27,KZ,,,individual
C159990,Kolya,,SG,,,individual
C170973,Matthew Müller,1967-06-06,GB,,,individual
C188320,"Ebrahimmie, Shahraam",,GE,document,GE34925971,individual
C812279,Dong-Jian Fan,1968-04-10,CN,,,individual
C314756,Shahram A.,1999-07-22,TJ,document,TJ69472730,individual
C806833,Reza Yazdani,1964-12-28,TJ,,,individual
C955164,Yu-Xia Ma,,HK,,,individual
C769122,The Damavand Textiles Ltd,,TW,,,entity
C467792,Babake Kareemmi,1961-04-06,TJ,,,individual
C957836,An Xu,1951-04-09,CN,,,individual
C995579,Matthew Nguyễn,1975-11-28,DE,,,individual
C562090,Sami az-Zahrani,,MA,,,individual
C454325,Jamal bin Mustafa As-Sabah,1978-07-18,JO,,,individual
C617897,Salma Zaydi,1990-06-05,EG,,,individual
C379693,Evgeny Grishin,1991,TW,,,individual
C470433,Andromeda One Trader,,PA,,,vessel
C185394,Stanislav Orlov,,KZ,,,individual
C858106,Morning Glory Alpha,,MT,imo,IMO9167626,vessel
C454032,Karemmi Mohsin,2000-05-11,GE,,,individual
C614662,Liu Lei Chun,1989-07-13,HK,,,individual
C395349,"Tsoy, Stanislav",1977-06-07,BY,,,individual
C425948,Dallalle Yasene,1985-07-10,JO,,,individual
C765951,M/V Sun Dancer Queen,,GR,,,vessel
C670691,Darya Zakharova,1980-09-18,BY,,,individual
C940543,Ehsen Mousavie,1985-06-04,GE,,,individual
C318128,Lingtien Hu,1992,US,,,individual
C711490,Delta Industries Corp,,GR,,,entity
C610976,Vessel Ocean Pearl Alpha,,MT,imo,IMO9574412,vessel
C501693,Ibraheem Salih,1972-07-01,LB,,,individual
C937294,Waled el-Sayid,1969-05-15,LB,,,individual
C390125,Rania Taha,1976-02,TN,,,individual
C815916,Jung Chu,1986,SG,,,individual
C440552,Ruslan Shishkin,1978-07-05,BY,,,individual
C296781,"Jafari, Bijen",1966-09-24,TJ,,,individual
C367751,Sammie b. Abdul Azeez AlMasry,1992-02-26,TN,,,individual
C566708,Rodrigues Betty J.,1993-02-02,AU,,,individual
C423241,Unnamed hull,,MT,imo,IMO9688656,vessel
C592504,Semion Tsoiy,1963,KZ,,,individual
C914471,Yong-Hsueh Hon,1981-11-05,SG,,,individual
C616463,"Kowalsky, Robert J.",1982-01-27,US,,,individual
C665863,Tallal Hamden,,TN,,,individual
C254019,Thomas A. Fernández,1990,MX,,,individual
C353866,"Kozlov, Semen",1972-12-03,KZ,,,individual
C227689,Henry A. Dubois,,BR,,,individual
C921618,Bin Leung,1999,CN,,,individual
C213208,Aral Aviation LLC,,EG,,,entity
C765177,Aminah Kasim,1976-03-26,SA,,,individual
C513195,"Lefevre, José J.",,AU,,,individual
C447366,Kamchatka Import Export Co.,,GR,,,entity
C708093,Cui Boming,1988-02-12,KW,,,individual
C920443,Tso Wen Chi,1989-05-08,HK,,,individual
C806567,"Shishkina, Olga Mikhailovna",1980-03,GR,,,individual
C114343,Marwen ben Ismayl Mahdi,1955-02-14,JO,,,individual
C359694,Baltic Freight G.m.b.H.,,TN,,,entity
C538761,Hua Hu,,TW,,,individual
C503608,Zagros Holdings,,KW,,,entity
C533754,Vessel Baltic Swan Alpha,,MH,imo,IMO9237652,vessel
C482274,Rania bin Rashed Al-Najar,,MA,,,individual
C275711,Nilloufar Hashemmi,1964-04-28,GE,document,GE54508159,individual
C908507,Hank J. Novak,1988-02-11,MX,,,individual
C238430,Ismayl bin Yusoof ArRashed,1961-07-17,JO,,,individual
C767374,"Hossaini, Hameed",1960-04-27,TJ,,,individual
C113548,Talal Yaseen,,MA,,,individual
C194815,Amber Road Group,,KZ,registration,REG-568262,entity
C502277,Hakem Mustafah,,MA,,,individual
C314672,"Shevchenko, Gennady",1988-02-03,GR,,,individual
C327488,Adnen AlZahrany,1999-12-19,AE,,,individual
C536411,"Lindquist, Beth J.",1966-10-24,CA,,,individual
C700800,Sergey Alekseevitsch Tschaikowsky,,KZ,,,individual
C213540,Shu Gang Liang,1978-12-12,CN,,,individual
C305846,Unnamed hull,,CY,imo,IMO9079308,vessel
C141423,Wallid bin Kareem al-Ameen,,LB,,,individual
C359731,Artem Kovalenko,1986-10-15,BY,,,individual
C883303,Semion Volkov,1967-03,BY,,,individual
C117544,Albatross,,MT,imo,IMO9987175,vessel
C451044,Sammeer AsSayid,,JO,,,individual
C324135,Mortizah Kermani,1977-03-18,GE,,,individual
C299341,Golnaz Tehrani,1966-03-26,GE,,,individual
C453524,Jammal Abas,1960-12-11,AE,,,individual
C820154,Mihail Belousow,,BY,,,individual
C355405,Rui Cheung,1958,CN,,,individual
C245784,Behrouz Jafari,1986-09-14,GE,,,individual
C327474,"Brien, Samuel M. O",1989-05-20,FR,,,individual
C554660,Vessel Hormuz Pride Alpha,,CY,imo,IMO9108501,vessel
C127340,Zagros Agro Free Zone Establishment,,UA,,,entity
C873621,Kammaal Bakr,,EG,,,individual
C362003,Zied AsSabah,,AE,,,individual
C266542,Arash Sadighi,1951-12-19,GE,document,GE34908346,individual
C164245,Eastern Star Trading,,GE,,,entity
C539854,Husain Awed,1984-09-18,AE,,,individual
C914187,Boris Nikolaevicz Jaszin,,KZ,,,individual
C811090,Amber Energy Corp.,,KW,,,entity
C170727,Elisaveta Sakharowa,1961-03-17,BY,,,individual
C133137,Chung-Chun Chu,1972-05-26,TW,,,individual
C600307,Saed Shahen,,LB,,,individual
C113272,Tarek ibn Bilal Hakem,2000-11-03,EG,,,individual
C308379,Hao Xu,1962-06-28,TW,,,individual
C453712,Hsia Yeung,1958-12-19,SG,,,individual
C317896,Lei Lan Chao,1980-09-24,SG,,,individual
C182394,Hamede ElDouri,1992-09-26,KW,,,individual
C426102,Fernández Kathy,1951-12-19,BR,,,individual
C436898,Kun Yuan,1970-03,CN,,,individual
C272115,Feng Yi Gui,1984-09-03,CN,,,individual
C330743,Ruslan Kiselev,1993-09-22,KZ,,,individual
C130283,Qiang-Lei Ko,1966-09-26,HK,,,individual
C431752,Kit M. Schmidt,1970-11-28,MX,,,individual
C917714,Chih Kuei Lau,1998-01-13,CN,,,individual
C707987,Tehrani Farhed,,GE,,,individual
C349588,Salleh Majed,,JO,,,individual
C973122,Rashed Khoury,1983-10-20,JO,,,individual
C722206,Yasir Shahen,1985-02-05,AE,,,individual
C600407,Eastern Star Industries LLC,,AU,,,entity
C374116,Fu Wei Dang,1985-05-18,SG,,,individual
C661978,Chun Fang Lin,,CN,,,individual
C460803,Abdul Karem Al-Khateb,,AE,,,individual
C757286,Vyacheslav Mikhailovich Yegorov,,GR,,,individual
C982031,Euphrates Technologies,,GB,,,entity
C602856,"Nikolaewa, Anastasya",2000-01-15,BY,document,BY91090590,individual
C205301,Omide Ghassemmi,1981-11-11,GE,,,individual
C433768,Shu-Hsin Tai,1993-11-14,HK,,,individual
C176923,Marwen Salmen,1997-11,LB,,,individual
C424339,Dima,1992-06-10,UA,,,individual
C902390,Anthony A. Schroeder,1995-11-20,GB,,,individual
C875371,Mahmoud ibn Ahmed Mahdi,,JO,,,individual
C948992,"Nikolaeffa, Tatiana Petrovna",2000-07-06,UA,,,individual
C741731,Ivan Vladimirovich Popov,1957-11-14,UA,,,individual
C247397,The Amber Road Industries S.A.,,FR,,,entity
C157295,Nour ElHasheemmi,1957-12-28,TN,,,individual
C245192,Maged Abas,1980-01-17,SA,,,individual
C219778,"Kiseleva, Zhanna",1975-03-05,GR,,,individual
C475124,Khadeejah As-Saba,,KW,,,individual
C882636,Hsia He,,TW,,,individual
C892807,Unnamed hull,,MH,imo,IMO9011550,vessel
C361454,Tabriz,,MA,registration,REG-575970,entity
C573543,Kamren Tabreezi,1992-02-23,TJ,,,individual
C155638,MT Hormuz Pride III,,GR,,,vessel
C425465,Orion Maritime,,AE,,,entity
C632820,Tu Nachun,1979-08-16,HK,,,individual
C913307,Valentina Nikolaevna Kouznetsova,1950,BY,,,individual
C601437,Boris Kravczenko,1988-03-06,UA,,,individual
C284999,Darya Sergeyevna Zhukova,,BY,,,individual
C854220,Abdoolla AlShamsie,1973,SA,,,individual
C683829,Oxana Shishkina,1969-08-18,UA,,,individual
C854699,Arash Rahemmi,1996,GE,,,individual
C584355,Vessel Golden Anchor Alpha,,MT,imo,IMO9852920,vessel
C391861,"Delacruz, Barbara J.",1985,US,,,individual
C709008,Yusoof bin Hamza Haded,1955-01-09,JO,,,individual
C758962,Azez Hanen,,SA,,,individual
C649976,Ameer Hosaini,1976-05-27,TJ,,,individual
C179550,Nikolaiy Mikhailovich Nikolaev,1980-04-28,GR,,,individual
C889394,Red Falcon IV Trader,,GR,,,vessel
C824973,Yasir ben Fahd Zaydi,1956-11-17,SA,,,individual
C345065,Billal Dschabouri,1999-12-24,AE,,,individual
C826210,Babak Baghiri,1970-09-03,TJ,,,individual
C773168,Chuck Van der Berg,1961-02-01,GB,,,individual
C796554,Aishah Haded,,SA,,,individual
C341448,Hisham Sallih,1993,LB,,,individual
C789027,Saaid Tehrani,1963-08-17,TJ,,,individual
C274633,Faisal Salman,,JO,,,individual
C590796,Matt J. Nguyễn,1993-08-03,CA,,,individual
C553135,Blue Horizon Industries Ltd.,,SA,,,entity
C747345,"Esfahani, Shahramme",1961-05-09,GE,,,individual
C813614,Teng Pingfang,1995-04-08,HK,,,individual
C457871,Shahram Zammani,,TJ,,,individual
C173020,Cheng Chiu,,HK,,,individual
C182756,"Ghanim, Mahmoud bin Hasan",1964,UA,,,individual
C203593,Rebecca Le Fevre,,MX,document,MX64007050,individual
C113237,Joey M. Delacruz,1990-02,FR,,,individual
C817989,Muhammad b. Abdol Aziz Salmen,1987-12-02,SA,,,individual
C656775,Bashar ben Faissal Jabouri,1974-09-22,TN,,,individual
C192401,Dalal ar-Rashed,1971-07-20,LB,,,individual
C351201,Rahmani Parisah,,TJ,,,individual
C667423,Benny A. Hernandez,,CA,,,individual
C261272,Djafari Parveze,1995-06-03,GE,,,individual
C592234,Omed Akbari,1964-09-06,GE,,,individual
C187297,Amber Logistics,,LB,,,entity
C918812,William M. Fischer,1989-12-14,AU,,,individual
C830742,"Hamden, Anwar",1966,TN,,,individual
C338477,Hsueh Cheng Chow,,CN,,,individual
C961030,Madscheed Haschimmi,1979,TJ,,,individual
C985662,Ghanimme Ziade,2000-04-20,LB,,,individual
C619742,Wasily Lebedew,1951-03-20,KZ,,,individual
C965003,Sergey Ivanovich Andreev,,BY,,,individual
C846181,Sea Lion V,,MT,,,vessel
C307090,Juei Kun Kwok,1975-11-03,CN,,,individual
C489836,"Awed, Khadejah",1957-12-08,LB,,,individual
C315519,Hudah Kanaen,1967-02-07,TN,,,individual
C878174,Kammal Masri,1957-09-15,JO,,,individual
C511139,Dallal Hamden,1973-09-17,AE,,,individual
C439842,MV Falcon Bay Star,,MH,imo,IMO9047220,vessel
C153293,"MacDonald, Xander A.",,DE,,,individual
C264761,Boris Belousow,1986-04-28,GR,document,GR83646569,individual
C540689,Nabeel ibn Tarek Azeez,1956-03-04,MA,,,individual
C300089,Sapphire Engineering L.L.C.,,KZ,,,entity
C208888,Nizare ar-Rasheede,1962-12-07,SA,,,individual
C784228,Fateemah Faris,1995-07-15,EG,,,individual
C208836,Longmin Shen,1959-11-27,SG,,,individual
C466756,Dottie Garcia,1987,FR,document,FR92939883,individual
C309224,Ameer Farahani,,TJ,document,TJ80688262,individual
C958199,Faris Muhamad,1997-12-19,EG,,,individual
C786652,Tung Bin Tsang,1954-09-10,TW,,,individual
C537928,Людмила Ивановна Павлова,1987-10-26,UA,,,individual
C600871,Hisham Al Masri,1989-11-17,JO,,,individual
C256243,Oxana Zhukova,1958-02-11,KZ,document,KZ19755023,individual
C706236,Rezaai Behrouz,,TJ,,,individual
C723645,Sapphire Construction JSC,,US,,,entity
C718864,Edward A. Kowalski,1967-12-21,AU,,,individual
C439690,Olga Sergeyewna Petrowa,1993-09-24,GR,,,individual
C408716,Gennady Sokolow,1972,BY,,,individual
C163530,Karakum Electronics Inc,,GE,,,entity
C428355,Tori M. Kowalsky,,GB,,,individual
C134521,Yong-Kun Hoo,1960,CN,,,individual
C968295,Oxana Kravtchenko,1980-01-19,KZ,,,individual
C162689,Jun Cheng Lam,1983-04-08,HK,,,individual
C697282,Chihong Han,1985-12-08,HK,,,individual
C240270,Fiodor Shcherbakov,1968-03-18,GR,,,individual
C330584,Yassir Al Khateeb,1968-08-18,SA,,,individual
C500341,Maxim Ivanovich Kiseliov,,GR,,,individual
C105228,Francisco A. Müller,1991-05,AU,,,individual
C249793,The Ural Electronics GmbH,,US,,,entity
C146470,"Chernov, Artem",1975-11-09,GR,,,individual
C825679,Jiang Longfu,1978-11-11,SG,,,individual
C775981,Dima,,LB,,,individual
C605919,Ibrahem Hamden,,LB,,,individual
C620418,Arash Sheerazi,,GE,,,individual
C280194,Yulia S.,1994-12-28,KZ,document,KZ79720911,individual
C170908,Ehsen Zamani,1960-06,GE,,,individual
C495456,"Yasen, Tareq",1953-10-06,MA,,,individual
C950297,Dottie A. Mayer,1980-09,US,,,individual
C226817,Jie Chun Lu,1997-01-27,HK,,,individual
C848298,Hsiang Tse,1950-08,TW,,,individual
C677683,The Pamir Logistics FZE,,FR,,,entity
C686814,Massoud Rostammi,1977-09-18,GE,,,individual
C880054,Hamzah bin Samer Kanaen,1986-06-03,SA,,,individual
C727861,MV Desert Rose One,,SG,,,vessel
C148402,Boris Svetkov,1968-06-05,BY,,,individual
C277786,Golnaz Baghiri,1978-03-19,TJ,,,individual
C254689,Tabriz Holdings,,GB,,,entity
C646510,Delta Queen Star Trader,,MT,,,vessel
C109567,"Yegorowa, Ksenija",1975-02-10,GR,,,individual
C371796,Nile Valley Metals Ltd.,,SG,,,entity
C770451,Viktor Kozlov,1998-03-10,BY,,,individual
C192595,The Amber Freight Limited,,LB,,,entity
C257983,Atlas Logistics Limited Liability Company,,TN,,,entity
C234535,"Haded, Rammi",1998,AE,,,individual
C868045,Fahd ben Sammi Faris,,AE,document,AE73200200,individual
C402675,Olson Alex J.,1992,TJ,,,individual
C582374,Jose Johansson,1968-05-09,BR,,,individual
C684960,Nile Valley Import Export Co,,KZ,,,entity
C776688,Green Meadow Express,,LR,,,vessel
C746743,"Czernow, Wiktor Petrovicz",1952-03-02,GR,,,individual
C162913,Paco J. Schmid,1960-01-26,MX,,,individual
C991739,Arctic Dawn II Express,,CY,,,vessel
C117675,Euphrates Investments Limited,,GE,,,entity
C988791,Grigory Nikolaev,,UA,,,individual
C213854,Anastasya Kozlova,1954-06,UA,,,individual
C852588,Pan Poyan,1953-12-03,TW,,,individual
C304275,M/V Caspian Moon,,PA,,,vessel
C889243,"Nikolaev, Vyacheslav",,KZ,document,KZ49462690,individual
C260006,Fu Hai Yeh,1985-07,HK,,,individual
C968894,Jelisaweta Sergejevna Zoy,1979-04-23,BY,,,individual
C935411,MV Eastern Promise Star,,PA,imo,IMO9815712,vessel
C574028,Zhang Yanjun,1978,TW,,,individual
C238146,Yenisei Logistics,,KW,,,entity
C244786,RED SEA ENGINEERING Company,,SA,,,entity
C831593,Bosphorus Technologies Corp.,,TN,,,entity
C146398,Lailah Shirazie,1986-05,TJ,,,individual
C586864,Fang-Yun Loo,1997,TW,,,individual
C204938,Cavih Esfahani,1953-06-11,GE,,,individual
C558435,Nikolaiy Stepanov,1955-10-02,BY,,,individual
C738796,Djaved Ahmadi,1953-11-20,TJ,,,individual
C640557,Sahara Industries G.m.b.H.,,TJ,,,entity
C944627,Vessel Delta Queen,,PA,imo,IMO9591428,vessel
C695528,Boris Zakharov,1964,BY,,,individual
C354372,Jammal Yasseen,1968-09-26,TN,,,individual
C132955,Pat M. Schroder,1994-12-11,CA,,,individual
C945277,Shen Chun,1972-12-21,HK,,,individual
C829987,Rami bin Rammi el-Dschabouri,1993-02-27,BY,,,individual
C626017,Anthony OBrien,1968-06-10,BR,,,individual
C875548,Chihhsin Chang,1954-03-13,CN,,,individual
C823902,Farhed Kermani,1950-11-07,TJ,,,individual
C311610,MV Pacific Glory Star,,PA,,,vessel
C796381,Vessel Iron Duke Alpha,,LR,imo,IMO9539728,vessel
C596285,Hao Kai Wu,1958-12-15,SG,,,individual
C842181,Sheren Hosaini,,GE,,,individual
C624009,Chuck A. Larson,1973-08-08,US,document,US96329738,individual
C311685,MV Marlin II,,GR,,,vessel
C563855,Amer Mahmoudy,1979-08-18,GE,,,individual
C593960,Dubois Jennifer A.,1965-06-10,US,,,individual
C627050,Zhu Rong Qiang,1954-06-25,CN,,,individual
C391392,Tolya,1961-02-10,FR,,,individual
C774900,Chang Yong Chieh,1986-07-18,CN,,,individual
C476227,Ming Gang Leung,1982-08-03,CN,,,individual
C475861,Boris Sergeyevich Smirnov,1981,UA,,,individual
C325527,"Chernov, Gennady",1973-09-12,GR,,,individual
C729445,Layla Khoury,1992-03-07,JO,,,individual
C779160,"Morozov, Andrey Mikhailovich",1977-09,GR,,,individual
C181448,Salem bin Billal Azez,1963-12-01,LB,,,individual
C386491,Hongting Zhu,1957-05-10,SG,,,individual
C313478,Zagros Aviation Limited,,US,,,entity
C791284,Chun Hu,1956,SG,,,individual
C877599,Gennady Tkachenko,1994-09-01,BY,,,individual
C925990,Mustafah Shaheen,,SA,,,individual
C170621,M/T Blue Whale V,,LR,,,vessel
C212233,Mikhail Semenov,,GR,,,individual
C205430,Al-Noor Steel Ltd.,,EG,,,entity
C482980,Massoud Moussavy,1992-04-20,TJ,,,individual
C502272,HARBOR POINT,,FR,registration,REG-443189,entity
C957518,Theodore Ferreyra,1999,AU,,,individual
C901592,Tian Cheng Wong,1960-02-21,SG,document,SG47693636,individual
C631426,Ehsane Ahmadi,2000-05-09,GE,,,individual
C545463,Leonid Ivanovich Kravchenko,1996-07-07,UA,,,individual
C242993,Ning Mei Cao,1994-01-17,CN,,,individual
C383896,Khaleed Zaydi,1961-05-22,JO,document,JO16284229,individual
C816687,Yelizaweta Szevchenko,1952-12-01,GR,,,individual
C975582,Lan-Hong Guo,1954-02-05,TW,document,TW49556984,individual
C981950,Jennifer Novak,1993,BR,document,BR50250277,individual
C253005,Ye Yi Bin,1968-07-20,TW,,,individual
C512318,Rashed ibn Abdol Rahman el-Amen,1990-07,SA,,,individual
C152663,Qiang Yun Lee,,TW,,,individual
C221589,Nour Awed,,MA,,,individual
C487163,نزار الزهراني,1996-08-13,JO,,,individual
C640258,"Tabrezi, Hosain",1952-01-16,TJ,,,individual
C109909,"Salmen, Faysal ibn Omar",1970-08-22,EG,,,individual
C672760,MT Black Tide III,,SG,,,vessel
C635234,Tsuei Pin-Chieh,,TW,,,individual
C520439,Nasren Mahmoudi,1971-12-05,GE,,,individual
C522592,Hakeem Mahmoud ben Anwar,1986-07-28,KW,,,individual
C668111,Natalya Makarova,1961-12-10,BY,,,individual
C350120,"Kaseem, Karem",,MA,,,individual
C498560,Falcon,,UA,registration,REG-610353,entity
C784605,Xuelong Lu,1955-12-25,TW,,,individual
C658485,MV Lady Fortune V,,LR,,,vessel
C677190,Tom J. Nguyen,1953-12-19,BR,,,individual
C667616,"Sadighi, Mahsah",,SG,,,individual
C810250,Vessel Sun Dancer Alpha,,PA,imo,IMO9395400,vessel
C679397,MV Night Hawk,,CY,,,vessel
C193616,Longguo Jiang,1985-03-12,SG,,,individual
C992002,Vyacheslav Bondarenko,1994-06-28,GR,,,individual
C965805,Bobby M. Van der Berg,1962-05-09,BR,,,individual
C362911,Summit Agro SA,,TN,,,entity
C389040,Tigris Textiles Limited Liability Company,,KZ,,,entity
C871693,Ehsen Ghassimmi,1999-04-15,TJ,,,individual
C736559,S. Hashemi,1997-08-05,GE,document,GE56154116,individual
C478584,Aral Steel Limited,,GB,,,entity
C308957,Jennifer A. Andersson,,MX,,,individual
C476188,Tatiana Lebedeva,,UA,,,individual
C894290,Yekaterina Ivanovna Popova,,GR,,,individual
C923345,NORTHERN LIGHTS METALS Co.,,CN,,,entity
C808562,Vessel Albatross,,PA,imo,IMO9609803,vessel
C100673,Joey Vanderberg,1985-05-14,MX,,,individual
C769019,Maryam Ghasimi,1993-04-26,TJ,,,individual
C547466,Joseph Smith-Jones,1954-12,US,,,individual
C196842,"Jade Dragon Steel, Ltd",,AE,,,entity
C998579,Danny Du Bois,1995-01-10,CA,,,individual
C222310,Shamsi Hassen El,1990-04-16,SA,,,individual
C919503,Elizaveta Zhukova,,BY,,,individual
C519344,Elizaveta Mikhailovna Andreeva,,UA,document,UA18018911,individual
C705776,Wladimir Wladimirowich Orlow,1997-06-10,KZ,,,individual
C859161,Ahmed Yassen,2000-09-17,TN,,,individual
C383592,Jewgeny Nikolaevicz Makarow,1986-11-02,KZ,,,individual
C471495,Sergeij Iwanowich Saitsev,,BY,document,BY68115870,individual
C604516,Hai-Pao Sum,1993,TW,,,individual
C999145,Mortezah Ghasemy,1985-06-02,GE,,,individual
C536327,Arctic Dawn One Express,,MH,,,vessel
C361008,Maggie Le Fevre,,GB,document,GB30755907,individual
C194300,Benny J. Kowalski,1990-09-15,MX,,,individual
C895235,Anna S.,1980-03-22,BY,document,UA27823180,individual
C550043,"Pawlow, Walery Petrovitsch",,KZ,,,individual
C865974,Rezah Rahmani,1965-01,TJ,,,individual
C751754,Amen Tallal ben Sallem El,1990,EG,,,individual
C668914,Nasreen Ahmadi,,TJ,,,individual
C837119,Salmane Raniah,1971-03-04,TN,document,TN36587348,individual
C996073,Kamchatka Holdings Co,,AU,registration,REG-840387,entity
C376662,James M. Olson,1989-12-26,US,,,individual
C108948,Gao Xin,1978,TW,document,TW35793213,individual
C441052,Massoud Tabrezi,1993-02-24,TJ,,,individual
C381825,Yelena Petrovna Tkatchenko,,UA,,,individual
C497149,Mahsah Kermani,1984-03-28,EG,,,individual
C554488,Samer ElAmen,1966-11,AE,,,individual
C902428,Saadalla Ali,1950-11-14,LB,,,individual
C960012,Oleg Ivanovich Volkov,1983-03-25,BY,,,individual
C234573,Kamchatka Holdings S.A.,,TN,,,entity
C228937,Volga Aviation S.A.,,GB,,,entity
C600661,Crystal Metals,,GR,,,entity
C249110,Euphrates Steel Limited,,AE,,,entity
C159118,Abd Al Azeez AtTikreeti,1977-11,SA,,,individual
C703405,Anna Fedorowa,,KZ,,,individual
C391889,Hasen Mansour,,KW,,,individual
C796927,Hong Hai Pang,1985-09-15,HK,,,individual
C970358,Matt Schröder,1979-10-07,DE,,,individual
C650500,Farhed Hoseini,1979-08-24,GE,,,individual
C993671,سميرة سعد الله,1999-06-03,EG,,,individual
C433773,Zaynab Mansour,1954-05-22,TN,document,TN13329057,individual
C757425,Hussain b. Hamide Mansoure,1975-10,SA,,,individual
C389225,Maxim Zchaikowsky,1972-04-21,UA,,,individual
C493229,Mikhail Ivanov,,KZ,,,individual
C798209,Smithjones Suzy J.,1981,FR,,,individual
C615608,Mahsah Scheerazi,1960-09-11,GE,,,individual
C305014,Kate J. Le Fevre,1986-03-26,CA,,,individual
C353759,Chun Zhong Zeng,1995-03-22,TW,,,individual
C928577,Edward J. Nguyễn,1956-10-26,CA,,,individual
C818915,M/V Black Tide V,,GR,,,vessel
C488196,Reza Ghassimmi,1997-03-28,GE,,,individual
C114954,Rammeen Moradi,1998-04-02,TJ,,,individual
C268783,"Rostami, Kamrene",1952-10-04,GE,,,individual
C876309,Mehdi Moussavi,1989-06-06,TJ,,,individual
C483012,"Larsen, James A.",,US,,,individual
C851261,Francisco A. Bianchi,1954,MX,,,individual
C222526,Farhed Mohamadi,1986-08-28,GE,document,GE73377460,individual
C779700,Pepe A. van den Berg,,FR,,,individual
C180378,Tse Mei-De,,SG,,,individual
C650761,Fatimmih Yazdani,,GE,,,individual
